id,area,cfr_28_subpart_d,ca_title15_or_statute,requirement,county_document,status,gap,priority,change_log,owner,target_date,disposition
1,Prevention Planning,115.311(a),15 CCR 1324(n),"Written policy mandating zero tolerance toward all forms of sexual abuse and sexual harassment, outlining the agency's approach to preventing, detecting, and responding to such conduct, including retaliation and reporting by youth, staff, or a third party.","PREA Policy, Guidelines (zero tolerance; retaliation paragraph)",Partial,"Zero tolerance and retaliation prohibition are stated. The policy is not organized around a prevent / detect / respond framework, uses 'sexual misconduct' rather than the regulatory terms 'sexual abuse' and 'sexual harassment' as its operative trigger, and contains no third-party reporting provision required by both 1324(n) and 115.354.",High,,,,
2,Prevention Planning,115.311(b),,"Employ or designate an upper-level, agency-wide PREA Coordinator with sufficient time and authority to develop, implement, and oversee PREA compliance in all facilities.",None. But OO 1453 (Sexual Assault) I.A.15 directs that the sexual abuse incident review report be forwarded to 'the PREA coordinator and Department Chief.',Conflict,"Status changed from Not Addressed to Conflict. OO 1453, last revised December 9, 2019, instructs staff to forward the incident review report to the PREA Coordinator. The department has therefore published an operations order assigning a duty to a position that, per the department, does not exist. Two consequences. First, the required report has nowhere to go, so the review process terminates in a dead letter regardless of whether the review occurs. Second, this is written departmental acknowledgment that the position is necessary, dated 2019, which forecloses any argument that the department did not appreciate the requirement. Confirm whether a Coordinator was ever designated and later vacated, or never designated at all; the answer changes how this reads. Either way, designating one operationalizes an order the department already issued.",Critical,MATERIALLY REVISED in 3: OO 1453 I.A.15 directs reports to a PREA Coordinator the department does not have.,,,
3,Prevention Planning,115.311(c),,"Where an agency operates more than one facility, each facility shall designate a PREA Compliance Manager with sufficient time and authority to coordinate that facility's compliance.",None,Not Addressed,"No facility-level PREA Compliance Manager is designated for YDF. Confirm the current count of departmentally operated juvenile facilities; if more than one is operated, a Compliance Manager is required at each.",Critical,,,,
4,Prevention Planning,115.312(a)-(b),,"New or renewed contracts for confinement of residents with other entities must include the entity's obligation to adopt and comply with the PREA standards, and must provide for agency contract monitoring.",PREA Policy II.C.2,Partial,The contract-language requirement is captured. The separate requirement that the contract provide for agency monitoring of the contractor's PREA compliance is missing.,Low,,,,
5,Prevention Planning,115.313(a)-(b),"15 CCR 1321(a), (h)","Develop, implement, and document a staffing plan providing adequate staffing and, where applicable, video monitoring, weighing 11 enumerated factors including blind spots, resident composition, supervisory placement, and prevalence of substantiated and unsubstantiated incidents. Comply with the plan except in limited, discrete, fully documented exigent circumstances.",OO 1321 (Staffing),Not Addressed,"OO 1321 restates the Title 15 ratios and generic adequacy language. There is no documented PREA staffing plan, none of the 11 required factors is analyzed, and there is no mechanism for documenting deviations. A written staffing plan is one of the most frequently cited findings in juvenile PREA audits.",Critical,,,,
6,Prevention Planning,115.313(c),15 CCR 1321(h)(1),"Secure juvenile facilities shall maintain staff ratios of at least 1:8 during resident waking hours and 1:16 during sleeping hours. Only security staff count. Compliance was required no later than October 1, 2017.",OO 1321 I.B.1-2 (1:10 waking / 1:30 sleeping),Conflict,"The county standard mirrors Title 15 (1:10 / 1:30), which is materially less protective than the federal standard (1:8 / 1:16). Title 15 sets a floor, not a ceiling: 15 CCR 1301 expressly permits the county to adopt standards that exceed the minimum. Operating to 1:10 / 1:30 will fail 115.313(c) on audit and is a readily exploited fact in civil litigation. Whether actual post assignments already meet 1:8 / 1:16 should be verified against real rosters before the policy is revised.",Critical,,,,
7,Prevention Planning,115.313(d),,"At least annually, in consultation with the PREA Coordinator, assess, determine, and document whether adjustments are needed to the staffing plan, prevailing staffing patterns, video monitoring deployment, and resources available to adhere to the plan.",None,Not Addressed,No annual staffing and monitoring-technology review is required or documented. Depends on 115.311(b) being fixed first.,High,,,,
8,Prevention Planning,115.313(e),,Intermediate-level or higher supervisors shall conduct and document unannounced rounds on day and night shifts to identify and deter staff sexual abuse and harassment. Policy must prohibit staff from alerting others that supervisory rounds are occurring.,PREA Policy II.C.1,Partial,"Unannounced rounds by supervisors, ACDs, and Chief Deputies on day and night shifts are required. Two required elements are missing: documentation of the rounds, and an express prohibition on staff alerting other staff that rounds are underway.",High,,,,
9,Prevention Planning,115.315(a)-(c),15 CCR 1360(g),No cross-gender strip or visual body cavity searches except in exigent circumstances or by a medical practitioner; no cross-gender pat-down searches except in exigent circumstances; all such searches documented and justified in writing.,"OO 1360 (Searches) II.B, III.B.4-5, XI.A; PREA Policy II.D.1",Partial,"OO 1360 is substantially compliant and in places exceeds the standard. II.B prohibits cross-gender pat-down searches absent emergency circumstances. III.B.4 and III.B.5 require the searching officer AND the witness to be the same sex as the youth and bar any opposite-sex person from viewing a strip search, with no exigent exception, which is stricter than 115.315(a). Physical body cavity searches are never performed by probation staff and require a warrant and medical personnel. XI.A requires every strip search to be documented on an electronic Strip Search Authorization Form recording why, who conducted it, when and where, who was present, the gender of the resident and the searching officer, and the results. Remaining gap: 115.315(c) and 15 CCR 1360(g) require that cross-gender pat-down searches also be documented and justified in writing. The Strip Search Authorization Form captures strip and visual body cavity searches only; there is no comparable record for an emergency cross-gender pat-down.",Medium,REVISED: was Partial / High. OO 1360 reviewed; most elements met or exceeded. Remaining gap narrowed to cross-gender pat-down documentation.,,,
10,Prevention Planning,115.315(d),15 CCR 1352.5(e),"Residents must be able to shower, perform bodily functions, and change clothing without non-medical staff of the opposite gender viewing their breasts, buttocks, or genitalia, except in exigent circumstances or incidental to routine cell checks. Opposite-gender staff must announce their presence when entering a resident housing unit.","OO 1360, Attachment A (medical screen for shower-room strip searches)",Not Addressed,"Attachment A requires a medical screen when a shower room is used for a strip search, which is a privacy measure but not this standard. Still absent: any provision on residents showering, using the toilet, or changing clothing without non-medical staff of the opposite gender viewing their breasts, buttocks, or genitalia, and the requirement that opposite-gender staff announce their presence when entering a resident housing unit. The announcement rule is a discrete, no-cost policy fix and is a standard youth-interview question during an audit.",High,REVISED: gap text updated to credit the Attachment A medical screen.,,,
